h2,ch4,c2h6,c2h4,c2h2,act
88.0,45.0,57.0,15.0,39.0,1
138.8,52.2,6.77,62.8,9.55,1
115.9,75.0,14.7,25.3,6.8,3
565.0,53.0,34.0,47.0,0.001,3
9.82,0.98,11.21,2.37,0.02,6
234.5,30.28,6.11,47.69,175.88,3
160.0,130.0,33.0,96.0,0.001,4
512.0,87.0,11.5,163.59,185.21,1
52.1622,304.1915,159.3401,479.9918,2.4418,2
114.0,241.0,80.0,574.0,0.001,2
10.0,24.0,80.0,5.0,0.001,4
17.0,21.0,11.0,145.0,4.1,2
67.8,8.89,1.88,12.67,36.2,3
134.0,13.0,156.0,0.001,0.001,6
57.0,141.0,38.0,51.0,0.001,5
219.0,44.0,3.0,3.0,0.0001,4
60.0,5.0,2.0,21.0,32.0,1
4.2,122.2,65.0,154.4,0.0,5
307.0,22.0,2.0,33.0,109.0,3
79.0,131.0,60.0,225.0,0.0,2
18.95,46.97,6.94,61.54,0.0,2
45.91,403.6,106.19,640.01,0.0,2
9.2,171.6,102.1,226.1,0.0,5
150.0,22.0,9.0,60.0,11.0,2
134.0,13.0,267.0,0.001,0.001,6
121.0,73.0,179.0,11.0,0.0001,4
200.0,48.0,14.0,117.0,131.0,1
505.57,475.35,242.3,524.45,3.29,4
186.0,38.3,13.0,37.0,85.9,3
39.0,7.0,12.0,65.0,0.0001,2
103.5,4.7,16.3,3.5,0.001,6
56.0,286.0,96.0,928.0,7.0,2
256.0,8.0,37.4,15.0,21.1,3
73.0,177.0,37.0,52.0,0.0001,5
30.0,14.0,1.0,9.0,43.0,1
201.0,36.0,6.0,32.3,47.2,1
74.0,15.0,7.0,13.0,31.0,1
65.0,61.0,3.0,143.0,16.0,2
20.37,59.79,45.24,80.49,0.0001,5
18.0,63.0,20.0,51.0,0.001,5
124.0,166.0,87.0,59.0,0.001,4
100.0,22.0,1.5,26.2,33.0,1
18.0,35.0,2.0,110.0,0.0001,2
25.0,49.0,42.0,58.0,0.001,5
9.1,155.0,102.3,218.6,0.1,5
27.0,90.0,42.0,63.0,0.2,5
55.0,48.0,6.0,71.0,13.0,3
23.0,12.0,12.0,10.0,61.0,1
210.0,22.0,6.0,6.0,7.0,3
48.8,198.5,107.1,307.6,3.0,5
18.0,135.0,208.0,59.0,0.0,2
4.5,144.1,100.7,193.9,0.1,5
24.06,255.07,59.11,341.94,0.72,2
74.0,70.0,29.0,147.0,0.0,2
16.0,105.0,224.0,15.0,0.001,4
35.35,151.63,32.92,199.76,0.63,2
595.0,32.0,4.0,18.0,65.0,3
11.5,184.8,102.0,235.4,0.0,5
128.0,419.0,269.4,614.1,0.35,4
376.0,575.0,146.0,1092.0,0.001,2
56.0,285.0,7.0,28.0,96.0,2
8.7,166.1,101.8,220.9,0.0,5
60.0,10.0,0.0001,11.0,39.0,3
80.0,318.7,152.0,469.1,2.0,2
124.0,14.0,4.0,0.0001,13.0,3
5.0,14.0,234.0,5.0,0.001,4
181.0,262.0,41.0,28.0,0.001,4
255.0,48.0,8.3,33.0,29.8,1
170.0,320.0,53.0,520.0,3.2,2
82.31,91.2,29.87,199.02,3.45,2
73.0,520.0,6.0,120.0,140.0,2
151.0,51.0,16.0,12.0,19.0,1
0.0001,3.4,0.0001,54.0,0.0001,2
376.0,575.0,146.0,1092.0,0.0001,2
0.001,116.0,70.0,0.001,0.001,4
49.0,41.6,25.1,124.0,15.7,1
21.0,42.0,4.0,92.0,0.001,2
2.1,124.4,39.4,134.3,0.0,2
56.0,10.0,1.3,13.5,17.6,1
55.0,159.0,114.0,493.0,0.001,2
25.0,28.0,27.0,15.0,80.0,1
9.0,38.0,93.0,8.0,0.001,4
27.0,30.0,23.0,2.4,0.1,4
0.98,43.83,26.8,28.39,0.0,4
124.0,166.0,87.0,59.0,0.001,4
31.2,8.9,119.0,4.4,0.001,4
160.0,130.0,33.0,96.0,0.1,5
18.648,18.005,6.6987,55.463,1.1858,3
20.0,132.0,61.0,17.0,0.001,4
56.0,334.1,75.0,32.0,31.0,3
21.0,14.0,191.0,90.0,0.0001,4
18.34,16.26,3.38,17.95,16.42,1
24.0,20.0,4.0,87.0,0.0001,2
28.0,62.0,16.0,76.0,0.0001,2
0.0001,153.0,130.0,677.0,13.0,2
23.0,83.7,15.4,115.7,0.0,2
37.0,96.0,19.0,57.0,0.001,5
137.0,97.0,12.0,29.0,1.5,4
179.0,29.0,10.0,17.0,33.0,3
5.0,270.0,91.0,485.0,0.0,2
720.0,7.0,0.0001,15.0,101.0,3
716.0,7.1,33.0,20.0,6.8,3
15.0,159.0,29.0,87.0,0.0001,5
25.0,49.0,42.0,58.0,0.0001,5
54.0,143.0,23.0,101.0,0.001,5
120.0,31.0,0.001,66.0,94.0,1
19.0,10.0,7.9,9.5,8.5,3
113.0,140.0,28.0,405.0,111.0,2
14.0,62.0,16.0,3.0,0.0001,4
6.6,153.3,75.5,172.5,0.1,5
16.0,98.0,35.0,64.0,0.0001,5
2.0,5.0,81.0,172.0,0.001,5
594.0,230.0,44.0,130.0,102.0,1
15.8933,21.8097,3.1903,58.1206,0.9861,2
75.0,33.0,12.0,15.0,16.0,3
100.0,94.0,22.0,304.0,118.0,1
164.0,244.0,8.0,497.0,103.0,2
225.0,4.7,0.001,8.7,89.0,3
259.0,863.0,393.0,994.0,6.0,4
378.0,12.0,5.0,6.0,15.0,2
93.5,131.9,39.0,11.7,0.0001,4
105.0,23.0,13.0,4.0,3.0,6
245.0,120.0,18.0,131.0,167.0,1
95.0,110.0,160.0,50.0,0.001,4
78.0,161.0,10.0,353.0,86.0,2
59.3,374.5,205.2,615.3,1.9,5
14.0,15.0,42.0,73.0,0.0001,5
24.0,78.0,266.0,779.0,7.0,5
200.0,700.0,250.0,740.0,1.0,5
35.2,2.6,1.9,5.3,18.3,3
183.0,6.0,0.001,5.0,0.001,6
56.0,286.0,96.0,28.0,7.0,2
4.6875,10.8259,17.5223,66.9643,0.0,2
2.9,85.3,20.2,90.3,0.0,2
29.0,71.0,158.0,20.0,0.0001,4
170.0,330.0,77.0,430.0,13.0,2
550.0,53.0,34.0,20.0,0.0,3
29.3,24.9,7.3,11.4,7.5,1
0.0001,21.0,0.0001,0.0001,40.0,1
1.5,81.6,24.4,100.5,0.0,2
109.0,19.0,5.0,12.0,59.0,3
57.0,77.0,19.0,21.0,0.0,4
170.0,24.0,7.0,17.0,54.0,3
318.0,57.0,42.0,219.0,0.0,2
179.0,306.0,73.0,579.0,0.001,2
11.6,68.0,16.5,119.0,0.8,2
24.0,47.0,113.0,10.0,0.0001,4
32.5967,15.4696,4.9724,38.674,8.2873,1
27.0,28.0,136.0,8.0,0.001,4
5.5,122.4,58.8,145.4,0.0,5
56.0,61.0,75.0,32.0,31.0,3
12.0,290.0,144.0,355.0,0.0,4
8.0,0.0,0.0,43.0,101.0,3
11.0,46.0,155.0,18.0,0.0001,4
11.0,31.0,26.0,52.0,0.0,4
11.9,12.4,5.9,13.6,1.03,3
34.8,212.8,106.9,306.2,2.2,5
349.2,42.4,4.8,62.4,177.5,3
41.0,65.0,22.0,58.0,0.0001,5
16.746,16.5319,6.8744,57.3739,2.4738,2
70.0,4.0,91.0,0.001,34.0,1
55.0,159.0,114.0,493.0,0.001,2
46.0,22.0,15.0,31.0,52.0,3
22.0,14.0,19.0,6.0,56.0,1
195.7,58.0,16.4,91.6,96.9,1
6.17,116.06,488.86,92.57,0.0,2
70.0,4.0,91.0,0.0001,34.0,1
3.6,118.3,73.8,147.8,0.0,5
1.3802,6.1511,9.2081,76.6277,6.6329,2
65.0,26.1,10.1,41.6,57.8,1
9.7,170.6,95.8,225.8,0.0,5
106.0,4.0,2.0,1.0,0.0001,6
166.0,29.0,29.0,11.0,109.0,1
9.0,47.0,144.0,628.0,0.001,2
16.0,68.0,157.0,19.0,0.001,4
78.0,66.0,283.0,2.6,0.0001,4
102.0,3.9,0.8,7.7,39.2,1
79.0,40.0,264.0,10.0,0.001,4
39.6,171.72,45.81,233.98,0.83,2
59.0,119.0,36.0,70.0,0.001,5
157.0,46.0,76.0,12.0,0.001,4
37.0,11.8,15.5,43.6,83.3,1
181.5,22.0,76.0,3.7,0.0001,6
18.0,113.0,76.0,294.0,0.0,2
111.0,2.8,47.0,0.001,27.5,3
13.0,4.0,3.0,2.0,52.0,3
18.89,258.64,99.89,421.6,0.97,2
220.0,340.0,42.0,480.0,14.0,2
119.0,670.0,286.0,934.0,19.0,5
143.2,123.0,38.0,75.0,0.0001,4
128.0,419.0,269.5,614.1,0.35,5
34.0,21.0,4.0,49.0,56.0,1
